0.29, 0, 0, 9.33435, 1.719746, 0, 946.3209, -1262.031, -1.911234, 0.01343784, 0.1308036, 39.66639, 2.225933, 1.766902, 14.1318
0.5599998, -0.5822463, -0.1789196, 17.19533, 1.855033, 0.4789878203410543154713091516, 3740.075, -1279.73, -1.911234, 0.01343784, 0.1308036, 78.90902, 2.225933, 1.751448, 14.33379
 
0.5699998, -0.5533233, -0.1847421, 17.50035, 1.859988, 0.4504362903710932883846908484, 3884.031, -1280.397, -1.911234, 0.01343784, 0.1308036, 80.41593, 2.225933, 1.750875, 14.34127
 
0.5799997, -0.5216691, -0.1902753, 17.80626, 1.864856, 0.4220348460069193821543091516, 4031.054, -1281.065, -1.911234, 0.01343784, 0.1308036, 81.92653, 2.225933, 1.750303, 14.34875
 
0.5899997, -0.4872622, -0.195492, 18.1132, 1.869779, 0.3937930381507277134811908484, 4181.162, -1281.733, -1.911234, 0.01343784, 0.1308036, 83.44081, 2.225933, 1.749731, 14.35623
 
0.5999997, -0.4500971, -0.2003646, 18.42117, 1.874755, 0.3657252456332766079416908484, 4334.375, -1282.402, -1.911234, 0.01343784, 0.1308036, 84.95879, 2.225933, 1.749159, 14.36371
 
0.6099997, -0.4101802, -0.2048656, 18.73003, 1.879646, 0.3378472116999298408605, 4490.709, -1283.072, -1.911234, 0.01343784, 0.1308036, 86.48043, 2.225933, 1.748586, 14.37119
 
0.6199997, -0.3675358, -0.2089674, 19.03995, 1.884638, 0.3101824462637634656113091516, 4650.181, -1283.743, -1.911234, 0.01343784, 0.1308036, 88.00573, 2.225933, 1.748014, 14.37867
 
0.6299997, -0.3222014, -0.2126428, 19.3508, 1.889591, 0.2827535146431317720213091516, 4812.811, -1284.415, -1.911234, 0.01343784, 0.1308036, 89.53468, 2.225933, 1.747441, 14.38615
 
0.6399997, -0.2742355, -0.2158648, 19.66257, 1.894503, 0.2555894893644702108053091516, 4978.613, -1285.087, -1.911234, 0.01343784, 0.1308036, 91.06726, 2.225933, 1.746869, 14.39363
 
0.6499997, -0.2237116, -0.2186071, 19.97541, 1.899517, 0.2287215420535980285475, 5147.609, -1285.76, -1.911234, 0.01343784, 0.1308036, 92.60349, 2.225933, 1.746297, 14.40112
 
0.6599997, -0.1707236, -0.2208443, 20.28918, 1.904492, 0.2021824186608675957605, 5319.815, -1286.434, -1.911234, 0.01343784, 0.1308036, 94.14332, 2.225933, 1.745724, 14.4086
 
0.6699997, -0.1153884, -0.2225515, 20.60391, 1.909474, 0.1760103227950268432080, 5495.249, -1287.109, -1.911234, 0.01343784, 0.1308036, 95.68678, 2.225933, 1.745152, 14.41608
 
0.6799996, -0.05783813, -0.2237054, 20.91961, 1.914464, 0.1502431431999153975885, 5673.926, -1287.785, -1.911234, 0.01343784, 0.1308036, 97.23383, 2.225933, 1.744579, 14.42356
 
0.6899996, 0.001770474, -0.2242838, 21.23627, 1.919462, 0.1249221271783836004325, 5855.867, -1288.461, -1.911234, 0.01343784, 0.1308036, 98.78448, 2.225933, 1.744007, 14.43104
 
0.6999996, 0.06325797, -0.2242661, 21.55389, 1.924466, 0.100091355817447083910, 6041.087, -1289.138, -1.911234, 0.01343784, 0.1308036, 100.3387, 2.225933, 1.743435, 14.43852
 
0.7099996, 0.1264191, -0.2236335, 21.87248, 1.929478, 0.07579737664589497389575, 6229.605, -1289.816, -1.911234, 0.01343784, 0.1308036, 101.8965, 2.225933, 1.742862, 14.446
 
0.7199996, 0.1910333, -0.2223693, 22.19203, 1.934498, 0.05208580309329154120185, 6421.436, -1290.495, -1.911234, 0.01343784, 0.1308036, 103.4579, 2.225933, 1.74229, 14.45348
 
0.7299996, 0.2568499, -0.220459, 22.51258, 1.939573, 0.02900624737352318898725, 6616.598, -1291.175, -1.911234, 0.01343784, 0.1308036, 105.0228, 2.225933, 1.741717, 14.46097
 
0.7399996, 0.3235945, -0.2178905, 22.83399, 1.94456, 0.0066085567996070809446369085, 6815.106, -1291.856, -1.911234, 0.01343784, 0.1308036, 106.5912, 2.225933, 1.741145, 14.46845
 
0.7499996, 0.3909741, -0.2146545, 23.15645, 1.949649, -0.01505646202702222579140, 7016.984, -1292.537, -1.911234, 0.01343784, 0.1308036, 108.1632, 2.225933, 1.740573, 14.47593
 
0.7599996, 0.4586747, -0.2107448, 23.47977, 1.954651, -0.0359397825412056850192809152, 7222.244, -1293.219, -1.911234, 0.01343784, 0.1308036, 109.7388, 2.225933, 1.74, 14.48341
 
0.7699996, 0.526353, -0.206158, 23.80414, 1.959756, -0.05598817578082255540575, 7430.903, -1293.902, -1.911234, 0.01343784, 0.1308036, 111.3178, 2.225933, 1.739428, 14.49089
 
0.7799996, 0.5936509, -0.2008945, 24.12936, 1.964773, -0.0751522709284150140555, 7642.978, -1294.585, -1.911234, 0.01343784, 0.1308036, 112.9004, 2.225933, 1.738855, 14.49837
 
0.7899995, 0.6601875, -0.194958, 24.45561, 1.969893, -0.09338086045456667321935, 7858.484, -1295.27, -1.911234, 0.01343784, 0.1308036, 114.4864, 2.225933, 1.738283, 14.50585
 
0.7999995, 0.7255664, -0.1883561, 24.78277, 1.974973, -0.1106254761545541544780, 8077.443, -1295.955, -1.911234, 0.01343784, 0.1308036, 116.0759, 2.225933, 1.737711, 14.51333
 
0.8099995, 0.7893761, -0.1811005, 25.11087, 1.98006, -0.1268389197787800059580, 8299.871, -1296.641, -1.911234, 0.01343784, 0.1308036, 117.6689, 2.225933, 1.737139, 14.52081
 
